job,item,tube_type,selected_machine,machines,calculated_setup_time,tool,setuptime_material,setuptime_coil,duration_machine,duration_manual,shift,latest_start,calculated_start,calculated_end,planned_start,planned_end,final_start,final_end,setup_time,status,jobStartDelay,jobEndDelay,start,end
92021376987,60APK,APK,1533,1533,,A0 035,0 days 00:15:00,0 days 00:02:00,0 days 02:05:14.400000,0 days 02:05:14.400000,W01S3,2022-03-06 22:41:31,,,,,2021-10-24 06:17:00,2021-10-25 08:05:14,0 days 00:17:00,JobStatus.UNPLANNED,22620.0,0,2021-10-24 00:00:00,2022-03-07 03:09:00
92021366434,55APK10000,APK,1534,1534,,A0 012,0 days 00:15:00,0 days 00:02:00,1 days 21:20:10.800000,0 days 02:33:00,W01S3,2022-03-10 20:11:38,,,,,2021-10-24 08:50:00,2021-10-27 19:21:00,0 days 00:17:00,JobStatus.UNPLANNED,31800.0,0,2021-10-24 00:00:00,2022-03-14 15:09:00
92021366129,50AA1500,AA,1535,1535,,A0 005,0 days 00:15:00,0 days 00:02:00,0 days 09:14:07.200000,0 days 00:15:00,W01S3,2022-03-15 02:03:45,,,,,2021-10-24 06:17:00,2021-10-25 15:14:07,0 days 00:17:00,JobStatus.UNPLANNED,22620.0,0,2021-10-24 00:00:00,2022-03-15 20:49:00
92021362208,20AGA0476,AGA,1537,1537,,A0 005,0 days 00:15:00,0 days 00:02:00,1 days 03:49:49.800000,0 days 05:17:48,W01S3,2022-03-17 19:12:20,,,,,2021-10-24 06:17:00,2021-10-26 17:50:00,0 days 00:17:00,JobStatus.UNPLANNED,22620.0,0,2021-10-24 00:00:00,2022-03-20 03:09:00
92021366138,50APK1400,APK,1532,1532,,A0 005,0 days 00:15:00,0 days 00:02:00,0 days 00:37:31.200000,0 days 00:21:48,W01S3,2022-03-28 01:36:57,,,,,2021-10-24 06:38:48,2021-10-25 06:38:19,0 days 00:17:00,JobStatus.UNPLANNED,23928.0,0,2021-10-24 00:00:00,2022-03-28 03:09:00
92021376830,50AA61070,AA,1537,1537,,A0 005,0 days 00:15:00,0 days 00:02:00,0 days 00:32:54,0 days 00:16:28.800000,W01S3,2022-03-29 13:46:12,,,,,2021-10-26 18:07:00,2021-10-26 18:39:54,0 days 00:17:00,JobStatus.UNPLANNED,238020.0,0,2021-10-24 00:00:00,2022-03-29 15:09:00
92021366065,40APK2000,APK,1535,1535,,A0 006,0 days 00:15:00,0 days 00:02:00,0 days 02:02:46.200000,0 days 00:33:45,W01S3,2022-03-29 22:46:27,,,,,2021-10-25 15:32:00,2021-10-25 17:34:46,0 days 00:17:00,JobStatus.UNPLANNED,142320.0,0,2021-10-24 00:00:00,2022-03-30 03:09:00
92021366645,60PAPK003,PAK,1533,1533,,A0 035,0 days 00:15:00,0 days 00:02:00,0 days 10:34:40.200000,0 days 10:34:40.200000,W01S3,2022-03-29 23:22:39,,,,,2021-10-25 18:57:40,2021-10-26 13:32:20,0 days 00:17:00,JobStatus.UNPLANNED,154660.0,0,2021-10-24 00:00:00,2022-03-30 20:49:00
92021366057,40APK1750,APK,1536,"1532,1533,1534,1535,1536,1537",,A0 006,0 days 00:15:00,0 days 00:02:00,0 days 02:08:03.600000,0 days 00:35:12,W01S3,2022-04-01 16:15:52,,,,,2021-10-24 06:17:00,2021-10-25 08:08:03,0 days 00:17:00,JobStatus.UNPLANNED,22620.0,0,2021-10-24 00:00:00,2022-04-01 20:49:00
92021366492,60APK013,APK,1532,1532,,A0 035,0 days 00:15:00,0 days 00:02:00,0 days 01:02:51,0 days 01:02:51,W01S3,2022-04-02 00:46:18,,,,,2021-10-25 07:58:51,2021-10-25 09:01:42,0 days 00:17:00,JobStatus.UNPLANNED,115131.0,0,2021-10-24 00:00:00,2022-04-02 03:09:00
92021365535,25APK,APK,1536,1536,,A0 062,0 days 00:15:00,0 days 00:02:00,0 days 02:37:09,0 days 02:37:09,W01S3,2022-04-02 15:17:42,,,,,2021-10-25 08:26:00,2021-10-25 11:03:09,0 days 00:17:00,JobStatus.UNPLANNED,116760.0,0,2021-10-24 00:00:00,2022-04-02 20:49:00
92021365534,25AGA1190,AGA,1536,1536,,A0 062,0 days 00:15:00,0 days 00:02:00,0 days 02:37:44.400000,0 days 00:50:24,W01S3,2022-04-04 09:36:31,,,,,2021-10-25 11:21:00,2021-10-25 13:58:44,0 days 00:17:00,JobStatus.UNPLANNED,127260.0,0,2021-10-24 00:00:00,2022-04-04 15:09:00
92021376907,55AA0300,AA,1537,1537,,A0 005,0 days 00:15:00,0 days 00:02:00,0 days 00:15:10.800000,0 days 00:10:04.800000,W01S3,2022-04-06 02:21:38,,,,,2021-10-26 18:57:00,2021-10-26 19:12:10,0 days 00:17:00,JobStatus.UNPLANNED,241020.0,0,2021-10-24 00:00:00,2022-04-06 03:09:00
92021378025,90APK,APK,1531,1531,,A0 001,0 days 00:15:00,0 days 00:02:00,0 days 01:36:19.200000,0 days 01:36:19.200000,W01S3,2022-04-18 05:24:21,,,,,2021-10-24 06:17:00,2021-10-25 07:36:19,0 days 00:17:00,JobStatus.UNPLANNED,22620.0,0,2021-10-24 00:00:00,2022-04-18 08:54:00
92021366623,60PAK,PAK,1533,1533,,A0 035,0 days 00:15:00,0 days 00:02:00,0 days 01:09:09,0 days 01:09:09,W01S3,2022-04-30 06:18:42,,,,,2021-10-26 13:50:00,2021-10-26 14:59:09,0 days 00:17:00,JobStatus.UNPLANNED,222600.0,0,2021-10-24 00:00:00,2022-04-30 08:54:00
