,DATUM,ID_MASCHINE,MSTART,MENDE,MP1_START,MP1_ENDE,MP2_START,MP2_ENDE,MP3_START,MP3_ENDE,MZEIT_MIN,KURZBEZ,AENDERUNG_DATUM,AENDERUNG_USER
0,2012-01-02 00:00:00,1,2012-01-02 05:30:00,2012-01-02 16:30:00,2012-01-02 08:30:00,2012-01-02 09:00:00,2012-01-02 12:00:00,2012-01-02 12:45:00,2012-01-02 14:30:00,2012-01-02 14:45:00,570,,2012-02-02 10:00:00,AUTO
1,2012-01-02 00:00:00,2,2012-01-02 05:30:00,2012-01-02 16:30:00,2012-01-02 08:30:00,2012-01-02 09:00:00,2012-01-02 12:00:00,2012-01-02 12:45:00,2012-01-02 14:30:00,2012-01-02 14:45:00,570,,2012-02-02 10:00:00,AUTO
2,2012-01-02 00:00:00,4,2012-01-02 05:30:00,2012-01-02 16:30:00,2012-01-02 08:30:00,2012-01-02 09:00:00,2012-01-02 12:00:00,2012-01-02 12:45:00,2012-01-02 14:30:00,2012-01-02 14:45:00,570,,2012-02-02 10:00:00,AUTO
3,2012-01-02 00:00:00,9,2012-01-02 05:00:00,2012-01-02 15:30:00,2012-01-02 08:00:00,2012-01-02 08:30:00,2012-01-02 12:00:00,2012-01-02 12:45:00,2012-01-02 14:15:00,2012-01-02 14:30:00,540,,2012-02-02 10:00:00,AUTO
4,2012-01-02 00:00:00,10,2012-01-02 05:00:00,2012-01-02 15:30:00,2012-01-02 08:00:00,2012-01-02 08:30:00,2012-01-02 12:00:00,2012-01-02 12:45:00,2012-01-02 14:15:00,2012-01-02 14:30:00,540,,2012-02-02 10:00:00,AUTO
5,2012-01-02 00:00:00,12,2012-01-02 05:00:00,2012-01-02 15:30:00,2012-01-02 08:00:00,2012-01-02 08:30:00,2012-01-02 12:00:00,2012-01-02 12:45:00,2012-01-02 14:15:00,2012-01-02 14:30:00,540,,2012-02-02 10:00:00,AUTO
6,2012-01-02 00:00:00,13,2012-01-02 05:00:00,2012-01-02 15:30:00,2012-01-02 08:00:00,2012-01-02 08:30:00,2012-01-02 12:00:00,2012-01-02 12:45:00,2012-01-02 14:15:00,2012-01-02 14:30:00,540,,2012-02-02 10:00:00,AUTO
7,2012-01-02 00:00:00,29,2012-01-02 05:00:00,2012-01-02 15:30:00,2012-01-02 08:00:00,2012-01-02 08:30:00,2012-01-02 12:00:00,2012-01-02 12:45:00,2012-01-02 14:15:00,2012-01-02 14:30:00,540,,2012-02-02 10:00:00,AUTO
8,2012-01-03 00:00:00,9,2012-01-03 05:00:00,2012-01-03 15:30:00,2012-01-03 08:00:00,2012-01-03 08:30:00,2012-01-03 12:00:00,2012-01-03 12:45:00,2012-01-03 14:15:00,2012-01-03 14:30:00,540,,2012-02-02 10:00:00,AUTO
9,2012-01-03 00:00:00,10,2012-01-03 05:00:00,2012-01-03 15:30:00,2012-01-03 08:00:00,2012-01-03 08:30:00,2012-01-03 12:00:00,2012-01-03 12:45:00,2012-01-03 14:15:00,2012-01-03 14:30:00,540,,2012-02-02 10:00:00,AUTO
