,DATUM,JAHR,MONAT,KW,TAG,WOCHENTAG,START,ENDE,P1_START,P1_ENDE,P2_START,P2_ENDE,P3_START,P3_ENDE,ARBEITSZEIT_MIN,FEIERTAG,AENDERUNG_DATUM,AENDERUNG_USER
0,2012-01-01 00:00:00,2012,1,1,1,7,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,0,1,2012-02-02 10:00:00,AUTO
1,2012-01-02 00:00:00,2012,1,2,2,1,2012-01-02 06:00:00,2012-01-02 16:00:00,2012-01-02 09:00:00,2012-01-02 09:30:00,2012-01-02 12:00:00,2012-01-02 12:45:00,2012-01-02 15:00:00,2012-01-02 15:15:00,510,0,2012-02-02 10:00:00,AUTO
2,2012-01-03 00:00:00,2012,1,2,3,2,2012-01-03 06:00:00,2012-01-03 16:00:00,2012-01-03 09:00:00,2012-01-03 09:30:00,2012-01-03 12:00:00,2012-01-03 12:45:00,2012-01-03 15:00:00,2012-01-03 15:15:00,510,0,2012-02-02 10:00:00,AUTO
3,2012-01-04 00:00:00,2012,1,2,4,3,2012-01-04 06:00:00,2012-01-04 16:00:00,2012-01-04 09:00:00,2012-01-04 09:30:00,2012-01-04 12:00:00,2012-01-04 12:45:00,2012-01-04 15:00:00,2012-01-04 15:15:00,510,0,2012-02-02 10:00:00,AUTO
4,2012-01-05 00:00:00,2012,1,2,5,4,2012-01-05 06:00:00,2012-01-05 16:00:00,2012-01-05 09:00:00,2012-01-05 09:30:00,2012-01-05 12:00:00,2012-01-05 12:45:00,2012-01-05 15:00:00,2012-01-05 15:15:00,510,0,2012-02-02 10:00:00,AUTO
5,2012-01-06 00:00:00,2012,1,2,6,5,2012-01-06 06:00:00,2012-01-06 16:00:00,2012-01-06 09:00:00,2012-01-06 09:30:00,2012-01-06 12:00:00,2012-01-06 12:45:00,2012-01-06 15:00:00,2012-01-06 15:15:00,510,0,2012-02-02 10:00:00,AUTO
6,2012-01-07 00:00:00,2012,1,2,7,6,2012-01-07 00:00:00,2012-01-07 00:00:00,2012-01-07 00:00:00,2012-01-07 00:00:00,2012-01-07 00:00:00,2012-01-07 00:00:00,2012-01-07 00:00:00,2012-01-07 00:00:00,0,0,2012-02-02 10:00:00,AUTO
7,2012-01-08 00:00:00,2012,1,2,8,7,2012-01-08 00:00:00,2012-01-08 00:00:00,2012-01-08 00:00:00,2012-01-08 00:00:00,2012-01-08 00:00:00,2012-01-08 00:00:00,2012-01-08 00:00:00,2012-01-08 00:00:00,0,0,2012-02-02 10:00:00,AUTO
8,2012-01-09 00:00:00,2012,1,3,9,1,2012-01-09 06:00:00,2012-01-09 16:00:00,2012-01-09 09:00:00,2012-01-09 09:30:00,2012-01-09 12:00:00,2012-01-09 12:45:00,2012-01-09 15:00:00,2012-01-09 15:15:00,510,0,2012-02-02 10:00:00,AUTO
9,2012-01-10 00:00:00,2012,1,3,10,2,2012-01-10 06:00:00,2012-01-10 16:00:00,2012-01-10 09:00:00,2012-01-10 09:30:00,2012-01-10 12:00:00,2012-01-10 12:45:00,2012-01-10 15:00:00,2012-01-10 15:15:00,510,0,2012-02-02 10:00:00,AUTO
10,2012-01-11 00:00:00,2012,1,3,11,3,2012-01-11 06:00:00,2012-01-11 16:00:00,2012-01-11 09:00:00,2012-01-11 09:30:00,2012-01-11 12:00:00,2012-01-11 12:45:00,2012-01-11 15:00:00,2012-01-11 15:15:00,510,0,2012-02-02 10:00:00,AUTO
11,2012-01-12 00:00:00,2012,1,3,12,4,2012-01-12 06:00:00,2012-01-12 16:00:00,2012-01-12 09:00:00,2012-01-12 09:30:00,2012-01-12 12:00:00,2012-01-12 12:45:00,2012-01-12 15:00:00,2012-01-12 15:15:00,510,0,2012-02-02 10:00:00,AUTO
12,2012-01-13 00:00:00,2012,1,3,13,5,2012-01-13 06:00:00,2012-01-13 16:00:00,2012-01-13 09:00:00,2012-01-13 09:30:00,2012-01-13 12:00:00,2012-01-13 12:45:00,2012-01-13 15:00:00,2012-01-13 15:15:00,510,0,2012-02-02 10:00:00,AUTO
13,2012-01-14 00:00:00,2012,1,3,14,6,2012-01-14 00:00:00,2012-01-14 00:00:00,2012-01-14 00:00:00,2012-01-14 00:00:00,2012-01-14 00:00:00,2012-01-14 00:00:00,2012-01-14 00:00:00,2012-01-14 00:00:00,0,0,2012-02-02 10:00:00,AUTO
14,2012-01-15 00:00:00,2012,1,3,15,7,2012-01-15 00:00:00,2012-01-15 00:00:00,2012-01-15 00:00:00,2012-01-15 00:00:00,2012-01-15 00:00:00,2012-01-15 00:00:00,2012-01-15 00:00:00,2012-01-15 00:00:00,0,0,2012-02-02 10:00:00,AUTO
15,2012-01-16 00:00:00,2012,1,4,16,1,2012-01-16 06:00:00,2012-01-16 16:00:00,2012-01-16 09:00:00,2012-01-16 09:30:00,2012-01-16 12:00:00,2012-01-16 12:45:00,2012-01-16 15:00:00,2012-01-16 15:15:00,510,0,2012-02-02 10:00:00,AUTO
16,2012-01-17 00:00:00,2012,1,4,17,2,2012-01-17 06:00:00,2012-01-17 16:00:00,2012-01-17 09:00:00,2012-01-17 09:30:00,2012-01-17 12:00:00,2012-01-17 12:45:00,2012-01-17 15:00:00,2012-01-17 15:15:00,510,0,2012-02-02 10:00:00,AUTO
17,2012-01-18 00:00:00,2012,1,4,18,3,2012-01-18 06:00:00,2012-01-18 16:00:00,2012-01-18 09:00:00,2012-01-18 09:30:00,2012-01-18 12:00:00,2012-01-18 12:45:00,2012-01-18 15:00:00,2012-01-18 15:15:00,510,0,2012-02-02 10:00:00,AUTO
18,2012-01-19 00:00:00,2012,1,4,19,4,2012-01-19 06:00:00,2012-01-19 16:00:00,2012-01-19 09:00:00,2012-01-19 09:30:00,2012-01-19 12:00:00,2012-01-19 12:45:00,2012-01-19 15:00:00,2012-01-19 15:15:00,510,0,2012-02-02 10:00:00,AUTO
19,2012-01-20 00:00:00,2012,1,4,20,5,2012-01-20 06:00:00,2012-01-20 16:00:00,2012-01-20 09:00:00,2012-01-20 09:30:00,2012-01-20 12:00:00,2012-01-20 12:45:00,2012-01-20 15:00:00,2012-01-20 15:15:00,510,0,2012-02-02 10:00:00,AUTO
20,2012-01-21 00:00:00,2012,1,4,21,6,2012-01-21 00:00:00,2012-01-21 00:00:00,2012-01-21 00:00:00,2012-01-21 00:00:00,2012-01-21 00:00:00,2012-01-21 00:00:00,2012-01-21 00:00:00,2012-01-21 00:00:00,0,0,2012-02-02 10:00:00,AUTO
21,2012-01-22 00:00:00,2012,1,4,22,7,2012-01-22 00:00:00,2012-01-22 00:00:00,2012-01-22 00:00:00,2012-01-22 00:00:00,2012-01-22 00:00:00,2012-01-22 00:00:00,2012-01-22 00:00:00,2012-01-22 00:00:00,0,0,2012-02-02 10:00:00,AUTO
22,2012-01-23 00:00:00,2012,1,5,23,1,2012-01-23 06:00:00,2012-01-23 16:00:00,2012-01-23 09:00:00,2012-01-23 09:30:00,2012-01-23 12:00:00,2012-01-23 12:45:00,2012-01-23 15:00:00,2012-01-23 15:15:00,510,0,2012-02-02 10:00:00,AUTO
23,2012-01-24 00:00:00,2012,1,5,24,2,2012-01-24 06:00:00,2012-01-24 16:00:00,2012-01-24 09:00:00,2012-01-24 09:30:00,2012-01-24 12:00:00,2012-01-24 12:45:00,2012-01-24 15:00:00,2012-01-24 15:15:00,510,0,2012-02-02 10:00:00,AUTO
24,2012-01-25 00:00:00,2012,1,5,25,3,2012-01-25 06:00:00,2012-01-25 16:00:00,2012-01-25 09:00:00,2012-01-25 09:30:00,2012-01-25 12:00:00,2012-01-25 12:45:00,2012-01-25 15:00:00,2012-01-25 15:15:00,510,0,2012-02-02 10:00:00,AUTO
25,2012-01-26 00:00:00,2012,1,5,26,4,2012-01-26 06:00:00,2012-01-26 16:00:00,2012-01-26 09:00:00,2012-01-26 09:30:00,2012-01-26 12:00:00,2012-01-26 12:45:00,2012-01-26 15:00:00,2012-01-26 15:15:00,510,0,2012-02-02 10:00:00,AUTO
