job,item,tube_type,selected_machine,machines,calculated_setup_time,tool,setuptime_material,setuptime_coil,duration_machine,duration_manual,shift,latest_start,calculated_start,calculated_end,planned_start,planned_end,final_start,final_end,setup_time,status,jobStartDelay,jobEndDelay,start,end
92021157442,16AGA003,AGA,1537,"1536,1537",,A0 077,0 days 00:15:00,0 days 00:02:00,6 days 05:05:11.400000,0 days 17:55:00,W01S3,2022-04-30 10:21:37,,,,,2022-02-28 17:53:19,2022-03-14 06:59:19,0 days 00:17:00,JobStatus.UNPLANNED,4297999.0,0,2022-01-10 00:00:00,2022-05-12 20:49:00
92021157444,16AGA004,AGA,1536,"1536,1537",,A0 077,0 days 00:15:00,0 days 00:02:00,5 days 20:40:12,0 days 17:04:48,W01S3,2022-05-01 03:11:36,,,,,2022-02-28 17:53:19,2022-03-11 14:34:19,0 days 00:17:00,JobStatus.UNPLANNED,4211599.0,0,2022-01-11 00:00:00,2022-05-12 20:49:00
92021366434,55APK10000,APK,1534,1534,,A0 012,0 days 00:15:00,0 days 00:02:00,1 days 21:20:10.800000,0 days 02:33:00,W01S3,2022-03-10 20:11:38,,,,,2022-03-08 06:00:00,2022-03-10 13:36:00,0 days 00:17:00,JobStatus.UNPLANNED,21600.0,0,2022-03-08 00:00:00,2022-03-14 15:09:00
92021156713,12AGAW,AGA,1536,"1536,1537",,A0 021,0 days 00:15:00,0 days 00:02:00,1 days 18:52:05.400000,0 days 00:10:00,W01S3,2022-05-20 18:52:49,,,,,2022-03-11 14:51:19,2022-03-16 09:44:19,0 days 00:17:00,JobStatus.UNPLANNED,5755879.0,0,2022-01-04 00:00:00,2022-05-24 08:54:00
92021157958,22AA005,AA,1535,"1532,1533,1534,1535,1536,1537",,A0 061,0 days 00:15:00,0 days 00:02:00,1 days 15:26:48.600000,0 days 06:54:36,W01S3,2022-05-21 19:43:22,,,,,2022-02-28 17:53:19,2022-03-03 09:20:19,0 days 00:17:00,JobStatus.UNPLANNED,4384399.0,0,2022-01-09 00:00:00,2022-05-25 02:54:00
92021158661,50AA6,AA,1533,"1531,1532,1533,1535,1536,1537",,A0 005,0 days 00:15:00,0 days 00:02:00,1 days 08:03:37.800000,1 days 08:03:37.800000,W01S3,2022-05-22 04:24:44,,,,,2022-02-28 17:53:19,2022-03-02 17:57:19,0 days 00:17:00,JobStatus.UNPLANNED,5939599.0,0,2021-12-22 00:00:00,2022-05-24 20:49:00
92021951187,20AGA0476,AGA,1534,"1534,1535,1536,1537",,A0 024,0 days 00:15:00,0 days 00:02:00,1 days 07:51:19.200000,0 days 05:00:00,W01S3,2022-05-10 17:09:21,,,,,2022-03-01 06:00:00,2022-03-02 14:44:19,0 days 00:17:00,JobStatus.UNPLANNED,9352800.0,0,2021-11-13 00:00:00,2022-05-13 09:09:00
92021156723,12AGA026,AGA,1537,"1536,1537",,A0 021,0 days 00:15:00,0 days 00:02:00,1 days 07:19:04.200000,0 days 06:45:00,W01S3,2022-05-22 05:53:51,,,,,2022-03-14 07:16:19,2022-03-16 06:36:19,0 days 00:17:00,JobStatus.UNPLANNED,5642179.0,0,2022-01-08 00:00:00,2022-05-24 20:49:00
92021726546,20AGA0476,AGA,1534,"1534,1535,1536,1537",,A0 024,0 days 00:15:00,0 days 00:02:00,1 days 03:49:49.800000,0 days 13:04:30,W01S3,2022-05-11 01:12:20,,,,,2022-03-03 06:00:00,2022-03-04 15:54:49,0 days 00:17:00,JobStatus.UNPLANNED,11772000.0,0,2021-10-18 00:00:00,2022-05-13 09:09:00
92021362208,20AGA0476,AGA,1537,1537,,A0 005,0 days 00:15:00,0 days 00:02:00,1 days 03:49:49.800000,0 days 05:17:48,W01S3,2022-03-17 19:12:20,,,,,2022-03-24 08:25:00,2022-03-25 20:14:00,0 days 00:17:00,JobStatus.UNPLANNED,2017500.0,493500.0,2022-03-01 00:00:00,2022-03-20 03:09:00
